{'time_stamp': 1595226101.609826, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '15367db61a7dcc08'}
{'time_stamp': 1595226101.610908, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '047d027dfe7c4008'}
{'time_stamp': 1595226101.610354, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '077dfc7c2d798000'}
{'time_stamp': 1595226102.219822, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1595226116.528613, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'd67d717df27c0009'}
{'time_stamp': 1595226151.223359, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '207df17cb46d8000'}
{'time_stamp': 1595226101.619764, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '1c367dbd1a7dcc08'}
{'time_stamp': 1595226101.620858, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017d027d067d4008'}
{'time_stamp': 1595226101.620286, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '077dfc7c2d798000'}
{'time_stamp': 1595226103.219792, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773790b'}
{'time_stamp': 1595226116.578055, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': 'd67d727d1d7d0007'}
{'time_stamp': 1595226151.233991, 'id': 150957184, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65388, 'payload': '207df07cb46d8000'}
