{'time_stamp': 1589248928.923829, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd57b7d3d067dcc07'}
{'time_stamp': 1589248928.924826, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fb7c027df97c4007'}
{'time_stamp': 1589248928.924267, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.003774, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589248928.933689, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e07b7d3a067dcc08'}
{'time_stamp': 1589248928.934787, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '007d057dfc7c4008'}
{'time_stamp': 1589248928.934221, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248930.00376, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589248928.943704, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ea7b7d45067dcc08'}
{'time_stamp': 1589248928.944836, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '047d027d047d4008'}
{'time_stamp': 1589248928.944265, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3179bf00'}
{'time_stamp': 1589248931.003793, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589248928.95371, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'de7b7d4f067dcc08'}
{'time_stamp': 1589248928.954835, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037df97c067d4008'}
{'time_stamp': 1589248928.954269, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3179bf00'}
{'time_stamp': 1589248932.003815, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589248928.963711, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd47b7d49067dcc08'}
{'time_stamp': 1589248928.964836, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fb7cfe7c027d4008'}
{'time_stamp': 1589248928.964268, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3179bf00'}
{'time_stamp': 1589248933.003844, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589248928.973718, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e07b7d2e067dcc09'}
{'time_stamp': 1589248928.974837, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f47c057dfe7c4009'}
{'time_stamp': 1589248928.974278, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3179bf00'}
{'time_stamp': 1589248928.983719, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f17b7d14067dcc09'}
{'time_stamp': 1589248928.984803, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f67c067dfd7c4009'}
{'time_stamp': 1589248928.984235, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3079bf00'}
{'time_stamp': 1589248928.993704, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f47b7d02067dcc07'}
{'time_stamp': 1589248928.99483, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f97cfe7cfa7c4007'}
{'time_stamp': 1589248928.994267, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3079bf00'}
{'time_stamp': 1589248934.003903, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589248929.004271, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'eb7b7dfc057dcc07'}
{'time_stamp': 1589248929.006527, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7cfc7cfa7c4007'}
{'time_stamp': 1589248929.004845, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3079bf00'}
{'time_stamp': 1589248929.014991, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e97b7d04067dcc07'}
{'time_stamp': 1589248929.017194, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7cfb7cff7c4007'}
{'time_stamp': 1589248929.015568, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3079bf00'}
{'time_stamp': 1589248929.023739, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e17b7dfa057dcc08'}
{'time_stamp': 1589248929.024816, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fb7cfe7c077d4008'}
{'time_stamp': 1589248929.024252, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3079bf00'}
{'time_stamp': 1589248929.033662, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'e47b7df5057dcc08'}
{'time_stamp': 1589248929.034845, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7c017d077d4008'}
{'time_stamp': 1589248929.034273, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3079bf00'}
{'time_stamp': 1589248929.04374, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'dc7b7dfd057dcc08'}
{'time_stamp': 1589248929.044852, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037dfb7c017d4008'}
{'time_stamp': 1589248929.044278, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3079bf00'}
{'time_stamp': 1589248929.053729, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd57b7d11067dcc08'}
{'time_stamp': 1589248929.054841, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '087dfd7cfe7c4008'}
{'time_stamp': 1589248929.054278, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3079bf00'}
{'time_stamp': 1589248929.063728, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd77b7d26067dcc09'}
{'time_stamp': 1589248929.064845, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '077d027dfb7c4009'}
{'time_stamp': 1589248929.064274, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3079bf00'}
{'time_stamp': 1589248929.073663, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd97b7d27067dcc09'}
{'time_stamp': 1589248929.07481, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7cff7cfb7c4009'}
{'time_stamp': 1589248929.074225, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3079bf00'}
{'time_stamp': 1589248929.083722, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'd17b7d19067dcc07'}
{'time_stamp': 1589248929.084823, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f97cfc7c037d4007'}
{'time_stamp': 1589248929.084252, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.093707, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c67b7d06067dcc07'}
{'time_stamp': 1589248929.094823, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f87cfb7c067d4007'}
{'time_stamp': 1589248929.094256, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.103735, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b57b7dfa057dcc08'}
{'time_stamp': 1589248929.104826, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cf87c047d4008'}
{'time_stamp': 1589248929.104262, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.114956, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '9e7b7dfd057dcc08'}
{'time_stamp': 1589248929.117143, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fb7cf77c027d4008'}
{'time_stamp': 1589248929.115483, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.12372, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '987b7df6057dcc08'}
{'time_stamp': 1589248929.124848, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7c007d067d4008'}
{'time_stamp': 1589248929.12427, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.133726, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'a97b7dfc057dcc08'}
{'time_stamp': 1589248929.134845, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027d077d037d4008'}
{'time_stamp': 1589248929.134277, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.14373, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'bc7b7dfd057dcc09'}
{'time_stamp': 1589248929.144842, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7c077dfa7c4009'}
{'time_stamp': 1589248929.144277, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dff7c3179bf00'}
{'time_stamp': 1589248929.153731, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'c57b7dfb057dcc09'}
