{'time_stamp': 1589267979.449681, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '6f7c7d4c067dcc09'}
{'time_stamp': 1589267979.450776, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '077dfa7c017d4009'}
{'time_stamp': 1589267979.450203, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3179bf00'}
{'time_stamp': 1589267979.659729, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589267979.459716, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '637c7d56067dcc07'}
{'time_stamp': 1589267979.460838, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037dfc7c037d4007'}
{'time_stamp': 1589267979.460274, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3079bf00'}
{'time_stamp': 1589267980.659737, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589267979.470952, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '777c7d5d067dcc07'}
{'time_stamp': 1589267979.472097, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '007d047d027d4007'}
{'time_stamp': 1589267979.471511, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3079bf00'}
{'time_stamp': 1589267981.659802, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589267979.479715, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '7f7c7d5f067dcc07'}
{'time_stamp': 1589267979.480853, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '007d017d047d4007'}
{'time_stamp': 1589267979.48028, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3079bf00'}
{'time_stamp': 1589267982.659794, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589267979.489711, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '7b7c7d60067dcc08'}
{'time_stamp': 1589267979.490844, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cfe7c087d4008'}
{'time_stamp': 1589267979.490283, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3079bf00'}
{'time_stamp': 1589267983.659774, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589267979.499718, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '7d7c7d53067dcc08'}
{'time_stamp': 1589267979.500851, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f97c027d017d4008'}
{'time_stamp': 1589267979.500286, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '107dfe7c3079bf00'}
{'time_stamp': 1589267979.50972, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '887c7d4d067dcc08'}
