{'time_stamp': 1589272663.700566, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'a7747d4b177dcc08'}
{'time_stamp': 1589272663.701698, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '077d017d017d4008'}
{'time_stamp': 1589272663.70113, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dfc7c3179bf00'}
{'time_stamp': 1589272663.86056, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589272663.710535, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ab747d51177dcc08'}
{'time_stamp': 1589272663.711665, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017d017d017d4008'}
{'time_stamp': 1589272663.71114, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dfc7c3279bf00'}
{'time_stamp': 1589272664.860584, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589272663.720563, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'ae747d55177dcc08'}
{'time_stamp': 1589272663.721688, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017d017d027d4008'}
{'time_stamp': 1589272663.721116, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dfc7c3279bf00'}
{'time_stamp': 1589272665.860632, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589272663.730549, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b9747d54177dcc09'}
{'time_stamp': 1589272663.731689, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7c057d047d4009'}
{'time_stamp': 1589272663.731125, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dfc7c3179bf00'}
{'time_stamp': 1589272666.860638, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589272663.740518, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'df747d4c177dcc09'}
{'time_stamp': 1589272663.741648, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7c117dfe7c4009'}
{'time_stamp': 1589272663.741084, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '0f7dfc7c3179bf00'}
{'time_stamp': 1589272667.860653, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '00008300371bc62d'}
{'time_stamp': 1589272663.751159, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f5747d50177dcc07'}
