{'time_stamp': 1589774110.295481, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '20227d91097dcc07'}
{'time_stamp': 1589774110.296565, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027d097d017d4007'}
{'time_stamp': 1589774110.296108, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774110.984318, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773ca2d'}
{'time_stamp': 1589774110.304253, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '32227d9a097dcc07'}
{'time_stamp': 1589774110.305364, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d047d017d4007'}
{'time_stamp': 1589774110.304802, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774111.984268, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773ca2d'}
{'time_stamp': 1589774110.314243, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '29227da1097dcc08'}
{'time_stamp': 1589774110.315371, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027dfa7c007d4008'}
{'time_stamp': 1589774110.314799, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774112.98433, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773ca2d'}
{'time_stamp': 1589774110.324254, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '16227da1097dcc08'}
{'time_stamp': 1589774110.325364, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7cf97cfe7c4008'}
{'time_stamp': 1589774110.324797, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774113.984371, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773ca2d'}
{'time_stamp': 1589774110.334252, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '0e227d98097dcc08'}
{'time_stamp': 1589774110.335369, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7cfd7cff7c4008'}
{'time_stamp': 1589774110.334806, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774114.984375, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773ca2d'}
{'time_stamp': 1589774110.344257, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '0b227d9c097dcc08'}
{'time_stamp': 1589774110.345371, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027dff7c037d4008'}
{'time_stamp': 1589774110.344807, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774110.354258, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '08227d9e097dcc09'}
{'time_stamp': 1589774110.355375, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cfe7c037d4009'}
{'time_stamp': 1589774110.354812, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774110.364261, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'fc217d97097dcc09'}
{'time_stamp': 1589774110.36538, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cfa7cfe7c4009'}
{'time_stamp': 1589774110.364807, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774110.374255, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f1217d90097dcc09'}
{'time_stamp': 1589774110.375374, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7cfd7cfc7c4009'}
{'time_stamp': 1589774110.374813, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774110.384267, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f7217d93097dcc09'}
{'time_stamp': 1589774110.385329, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027d037dfe7c4009'}
{'time_stamp': 1589774110.384754, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774110.395402, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '02227d9b097dcc09'}
{'time_stamp': 1589774110.396519, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d057dfe7c4009'}
{'time_stamp': 1589774110.395956, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3179bf00'}
{'time_stamp': 1589774110.404253, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '0e227da4097dcc07'}
{'time_stamp': 1589774110.405372, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d037d007d4007'}
{'time_stamp': 1589774110.404806, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3179bf00'}
{'time_stamp': 1589774110.414254, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '11227da2097dcc07'}
{'time_stamp': 1589774110.415378, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7c007d007d4007'}
{'time_stamp': 1589774110.414811, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3179bf00'}
{'time_stamp': 1589774110.424261, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '0a227d97097dcc07'}
{'time_stamp': 1589774110.425376, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cfb7c027d4007'}
{'time_stamp': 1589774110.424815, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3179bf00'}
{'time_stamp': 1589774110.434281, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '00227da0097dcc07'}
{'time_stamp': 1589774110.435368, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '057dfc7cff7c4007'}
{'time_stamp': 1589774110.434825, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3179bf00'}
{'time_stamp': 1589774115.984441, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773ca2d'}
{'time_stamp': 1589774110.444207, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'fa217dad097dcc08'}
{'time_stamp': 1589774110.445318, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037dfd7cff7c4008'}
{'time_stamp': 1589774110.444757, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3179bf00'}
{'time_stamp': 1589774110.454248, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f3217dab097dcc08'}
{'time_stamp': 1589774110.455375, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7cfd7cfd7c4008'}
{'time_stamp': 1589774110.454811, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3179bf00'}
{'time_stamp': 1589774110.464255, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f2217da3097dcc08'}
{'time_stamp': 1589774110.465368, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7c017d007d4008'}
{'time_stamp': 1589774110.464805, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774110.474255, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '01227da4097dcc08'}
{'time_stamp': 1589774110.475375, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '027d077d027d4008'}
{'time_stamp': 1589774110.474809, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774110.484261, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '0e227db5097dcc08'}
{'time_stamp': 1589774110.485373, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '077d037df97c4008'}
{'time_stamp': 1589774110.484809, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774110.495463, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '13227dca097dcc08'}
{'time_stamp': 1589774110.496585, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d027dfa7c4008'}
{'time_stamp': 1589774110.49602, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774110.504276, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '1b227dd6097dcc09'}
{'time_stamp': 1589774110.505392, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '037d037d027d4009'}
{'time_stamp': 1589774110.50483, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3379bf00'}
{'time_stamp': 1589774110.514227, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '1f227dd0097dcc09'}
{'time_stamp': 1589774110.515365, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7c017dfe7c4009'}
{'time_stamp': 1589774110.514777, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '047dfe7c3279bf00'}
{'time_stamp': 1589774110.524229, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '1b227dcd097dcc09'}
{'time_stamp': 1589774110.525324, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cfd7cff7c4009'}
{'time_stamp': 1589774110.524755, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057dfe7c3279bf00'}
{'time_stamp': 1589774110.534231, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '0f227dcb097dcc07'}
{'time_stamp': 1589774110.53535, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7cfb7c007d4007'}
{'time_stamp': 1589774110.534781, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057dfe7c3279bf00'}
{'time_stamp': 1589774110.544279, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '0a227dc8097dcc07'}
{'time_stamp': 1589774110.545373, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cfe7c037d4007'}
{'time_stamp': 1589774110.544808, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057dfe7c3279bf00'}
{'time_stamp': 1589774110.554249, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '04227dd7097dcc07'}
{'time_stamp': 1589774110.555366, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '087dfd7c027d4007'}
{'time_stamp': 1589774110.554797, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057dfe7c3279bf00'}
{'time_stamp': 1589774110.564256, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'fc217df6097dcc08'}
{'time_stamp': 1589774110.565367, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '0b7dfc7c037d4008'}
{'time_stamp': 1589774110.564809, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '057dfe7c3279bf00'}
{'time_stamp': 1589774110.57426, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'f4217d010a7dcc08'}
{'time_stamp': 1589774110.57538, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017dfc7c027d4008'}
