{'time_stamp': 1593760529.88542, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '75257d69e37ccc08'}
{'time_stamp': 1593760529.877619, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f07c197dfb7c0008'}
{'time_stamp': 1593760529.886495, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcd808000'}
{'time_stamp': 1593760530.075377, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003763262e'}
{'time_stamp': 1593760529.885936, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '927d907c077d0008'}
{'time_stamp': 1593760529.89735, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47c127d338c8000'}
{'time_stamp': 1593760529.89569, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '85257d6ce37ccc09'}
{'time_stamp': 1593760529.887643, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'f87c137df97c0008'}
{'time_stamp': 1593760529.896775, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcc808000'}
{'time_stamp': 1593760531.075399, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003763262e'}
{'time_stamp': 1593760529.89622, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '927d907c1d7d0009'}
{'time_stamp': 1593760529.907104, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47c127d338c8000'}
{'time_stamp': 1593760529.905413, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '9e257d70e37ccc09'}
{'time_stamp': 1593760529.897917, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7c147df77c0009'}
{'time_stamp': 1593760529.906536, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': 'fd7c047dcc808000'}
{'time_stamp': 1593760532.075415, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '000083003763262e'}
{'time_stamp': 1593760529.905968, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '927d907c287d0009'}
{'time_stamp': 1593760529.917035, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': 'f47c127d338c8000'}
{'time_stamp': 1593760529.915349, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': 'b3257d77e37ccc09'}
