{'time_stamp': 1591342055.510866, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '7b0d7d95f27ccc0a'}
{'time_stamp': 1591342055.513084, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d047d047d400a'}
{'time_stamp': 1591342055.511944, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '017d007d2f798000'}
{'time_stamp': 1591342055.700821, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591342055.511375, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '347dcb7c107d000a'}
{'time_stamp': 1591342055.527379, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '037d037dbd6d8000'}
{'time_stamp': 1591342055.525687, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '8e0d7db5f27ccc07'}
{'time_stamp': 1591342055.527944, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d037d057d4007'}
{'time_stamp': 1591342055.526802, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '007d007d2f798000'}
{'time_stamp': 1591342056.700768, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591342055.52624, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '347dcc7c0f7d0007'}
{'time_stamp': 1591342055.532488, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '027d037dbc6d8000'}
{'time_stamp': 1591342055.53079, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '910d7dbdf27ccc0a'}
{'time_stamp': 1591342055.533055, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '067d027d047d400a'}
{'time_stamp': 1591342055.531914, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '007d007d2f798000'}
{'time_stamp': 1591342057.70085, 'id': 418316160, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591342055.531351, 'id': 217060224, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61459, 'payload': '347dcc7c077d000a'}
{'time_stamp': 1591342055.542485, 'id': 150954112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65376, 'payload': '027d037dbc6d8000'}
{'time_stamp': 1591342055.540794, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '950d7dc5f27ccc09'}
{'time_stamp': 1591342055.543053, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017d017d017d4009'}
{'time_stamp': 1591342055.541912, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '007d007d2f798000'}
