{'time_stamp': 1595582437.127114, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '460c7d6bef7c0002'}
{'time_stamp': 1595582419.807654, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '047d047dfd7c4002'}
{'time_stamp': 1595582419.80715, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '027d027d2c79bf02'}
{'time_stamp': 1595582439.370474, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'f7e7f3409ffbf980'}
{'time_stamp': 1595582439.369346, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '0be8bb409f54f27e'}
{'time_stamp': 1595582437.13718, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '460c7d6bef7c0002'}
{'time_stamp': 1595582419.817739, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7c037dfe7c4002'}
{'time_stamp': 1595582419.817214, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '027d027d2c79bf02'}
{'time_stamp': 1595582439.381327, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '08e8f340dffcf980'}
{'time_stamp': 1595582439.380204, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '10e89340df55f27e'}
{'time_stamp': 1595582437.147221, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '460c7d6bef7c0002'}
{'time_stamp': 1595582419.827764, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '017d057dfe7c4002'}
{'time_stamp': 1595582419.827224, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '027d027d2c79bf02'}
{'time_stamp': 1595582439.390448, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '19e8fb411ffaf900'}
{'time_stamp': 1595582439.389293, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '10e87b40df57f27e'}
{'time_stamp': 1595582437.157221, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '460c7d6bef7c0002'}
{'time_stamp': 1595582419.837848, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '007d057dff7c4002'}
{'time_stamp': 1595582419.837249, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '017d027d2c79bf02'}
{'time_stamp': 1595582439.400535, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '06e8c341dff8f980'}
{'time_stamp': 1595582439.399392, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '0ee86b401f59f27e'}
