{'time_stamp': 1595834830.903982, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.564009, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '057d047dfc7c4002'}
{'time_stamp': 1595834813.563439, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2c79bf02'}
{'time_stamp': 1595834833.157384, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'e8e7f3401ffdf980'}
{'time_stamp': 1595834833.156229, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '47e8bb409f57f27e'}
{'time_stamp': 1595834830.914072, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.574132, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': '047d067dfc7c4002'}
{'time_stamp': 1595834813.573628, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2d79bf02'}
{'time_stamp': 1595834833.167237, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': 'efe7f3401ffdf980'}
{'time_stamp': 1595834833.16611, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '49e8cb401f53f27e'}
{'time_stamp': 1595834830.924081, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.583997, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7c057dfc7c4002'}
{'time_stamp': 1595834813.58345, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2c79bf02'}
{'time_stamp': 1595834833.177392, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '19e8bb409f01fa00'}
{'time_stamp': 1595834833.17624, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '4ae8b3405f52f27e'}
{'time_stamp': 1595834830.933995, 'id': 217065856, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61481, 'payload': '19427dbaed7c0002'}
{'time_stamp': 1595834813.593999, 'id': 217066112, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7c047dff7c4002'}
{'time_stamp': 1595834813.593435, 'id': 149958016, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 61485, 'payload': '097d027d2b79bf02'}
{'time_stamp': 1595834833.187395, 'id': 218065792, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65387, 'payload': '4ae8c33f9ffef900'}
{'time_stamp': 1595834833.18626, 'id': 150957440, 'extended_id': True, 'priority': 2, 'src': 128, 'dlc': 8, 'pgn': 65389, 'payload': '49e8a3401f55f27e'}
