{'time_stamp': 1589268803.080188, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '912f7db50f7dcc08'}
{'time_stamp': 1589268803.081315, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '037dfd7c017d4008'}
{'time_stamp': 1589268803.080752, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3279bf00'}
{'time_stamp': 1589268804.040193, 'id': 418316161, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773ca2d'}
{'time_stamp': 1589268803.090194, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '8e2f7db50f7dcc08'}
{'time_stamp': 1589268803.091383, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cff7cfe7c4008'}
{'time_stamp': 1589268803.090784, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3279bf00'}
{'time_stamp': 1589268805.040275, 'id': 418316161, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773ca2d'}
{'time_stamp': 1589268803.100199, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '932f7db30f7dcc08'}
{'time_stamp': 1589268803.101335, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7c027dfb7c4008'}
{'time_stamp': 1589268803.100755, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3379bf00'}
{'time_stamp': 1589268806.040236, 'id': 418316161, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773ca2d'}
{'time_stamp': 1589268803.110199, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '932f7db70f7dcc09'}
{'time_stamp': 1589268803.111377, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '027dfe7cfa7c4009'}
{'time_stamp': 1589268803.110758, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3379bf00'}
{'time_stamp': 1589268807.040271, 'id': 418316161, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773ca2d'}
{'time_stamp': 1589268803.120875, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '802f7db70f7dcc09'}
{'time_stamp': 1589268803.122554, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cf77cff7c4009'}
{'time_stamp': 1589268803.121438, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3279bf00'}
{'time_stamp': 1589268808.040278, 'id': 418316161, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61183, 'payload': '000083003773ca2d'}
{'time_stamp': 1589268803.130178, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '6b2f7db70f7dcc09'}
{'time_stamp': 1589268803.131295, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '007df87c027d4009'}
{'time_stamp': 1589268803.130747, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfd7c3279bf00'}
{'time_stamp': 1589268803.140171, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '652f7db90f7dcc09'}
{'time_stamp': 1589268803.141328, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '007dfe7c027d4009'}
{'time_stamp': 1589268803.140724, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfd7c3279bf00'}
{'time_stamp': 1589268803.151023, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '5c2f7dc40f7dcc07'}
{'time_stamp': 1589268803.15216, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '017dfd7c017d4007'}
{'time_stamp': 1589268803.151616, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfd7c3279bf00'}
{'time_stamp': 1589268803.160147, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '4d2f7dc80f7dcc07'}
{'time_stamp': 1589268803.161275, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '007df87cfe7c4007'}
{'time_stamp': 1589268803.160703, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfd7c3279bf00'}
{'time_stamp': 1589268803.170202, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '3b2f7dc90f7dcc07'}
{'time_stamp': 1589268803.171384, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '007df97cf97c4007'}
{'time_stamp': 1589268803.170779, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfd7c3279bf00'}
{'time_stamp': 1589268803.180202, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '322f7dd50f7dcc07'}
{'time_stamp': 1589268803.181317, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '057dfc7cf27c4007'}
{'time_stamp': 1589268803.180756, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfd7c3279bf00'}
{'time_stamp': 1589268803.190211, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '222f7dd80f7dcc08'}
{'time_stamp': 1589268803.19138, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'ff7cf97cf57c4008'}
{'time_stamp': 1589268803.190771, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfd7c3179bf00'}
{'time_stamp': 1589268803.200222, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '172f7dd20f7dcc08'}
{'time_stamp': 1589268803.201343, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'fe7cfc7c007d4008'}
{'time_stamp': 1589268803.200772, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '057dfd7c3179bf00'}
{'time_stamp': 1589268803.21022, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '132f7dcc0f7dcc08'}
{'time_stamp': 1589268803.211345, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cfe7c027d4008'}
{'time_stamp': 1589268803.210788, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3179bf00'}
{'time_stamp': 1589268803.220861, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '0c2f7dc30f7dcc08'}
{'time_stamp': 1589268803.22255, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7cfc7cfc7c4008'}
{'time_stamp': 1589268803.221418, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3179bf00'}
{'time_stamp': 1589268803.230205, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '042f7dbd0f7dcc08'}
{'time_stamp': 1589268803.23138, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7cfd7cfc7c4008'}
{'time_stamp': 1589268803.230765, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3179bf00'}
{'time_stamp': 1589268803.240226, 'id': 217065857, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61481, 'payload': '052f7dbb0f7dcc09'}
{'time_stamp': 1589268803.241351, 'id': 217066113, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61482, 'payload': '007d017dfe7c4009'}
{'time_stamp': 1589268803.240786, 'id': 149958017, 'extended_id': True, 'priority': 2, 'src': 129, 'dlc': 8, 'pgn': 61485, 'payload': '067dfd7c3179bf00'}
