{'time_stamp': 1591345950.734562, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '93117d4dfe7ccc0a'}
{'time_stamp': 1591345950.736787, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': 'fb7c077d037d400a'}
{'time_stamp': 1591345950.735665, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '027d007d2f798000'}
{'time_stamp': 1591345951.154634, 'id': 418316167, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591345950.735102, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '447df97c1d7d000a'}
{'time_stamp': 1591345950.746264, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '087d037dbe6d8000'}
{'time_stamp': 1591345950.744637, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': 'a4117d3ffe7ccc0a'}
{'time_stamp': 1591345950.746827, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': 'fa7c067d037d400a'}
{'time_stamp': 1591345950.745718, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '027d007d2f798000'}
{'time_stamp': 1591345952.154606, 'id': 418316167, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591345950.745138, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '447df97c187d000a'}
{'time_stamp': 1591345950.756292, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '097d027dbd6d8000'}
{'time_stamp': 1591345950.754636, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': 'b1117d33fe7ccc0a'}
{'time_stamp': 1591345950.756843, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': 'fa7c047d047d400a'}
{'time_stamp': 1591345950.755724, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '027d007d2f798000'}
{'time_stamp': 1591345953.15467, 'id': 418316167, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591345950.75517, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '457df87c127d000a'}
{'time_stamp': 1591345950.771188, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '0b7d017dbd6d8000'}
{'time_stamp': 1591345950.76952, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': 'a0117df3fd7ccc07'}
{'time_stamp': 1591345950.771743, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cff7c037d4007'}
{'time_stamp': 1591345950.770621, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '027d007d2f798000'}
{'time_stamp': 1591345954.154621, 'id': 418316167, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591345950.77006, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '447df77cfe7c0007'}
{'time_stamp': 1591345950.776312, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '0b7d017dbd6d8000'}
{'time_stamp': 1591345950.774631, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': 'a0117deffd7ccc0a'}
{'time_stamp': 1591345950.776871, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7c007d037d400a'}
{'time_stamp': 1591345950.775745, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '027d007d2f798000'}
{'time_stamp': 1591345955.154636, 'id': 418316167, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591345950.775187, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '447df77c007d000a'}
{'time_stamp': 1591345950.78631, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '0c7d017dbe6d8000'}
{'time_stamp': 1591345950.784619, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '9e117de5fd7ccc0a'}
{'time_stamp': 1591345950.786851, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cfe7c037d400a'}
{'time_stamp': 1591345950.785725, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '037d007d2f798000'}
{'time_stamp': 1591345956.154726, 'id': 418316167, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591345950.785168, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '447df77cf97c000a'}
{'time_stamp': 1591345950.796306, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '0c7d017dbe6d8000'}
{'time_stamp': 1591345950.794633, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '94117ddffd7ccc0a'}
{'time_stamp': 1591345950.796867, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': 'fd7cfc7c057d400a'}
{'time_stamp': 1591345950.795729, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '037d007d2f798000'}
{'time_stamp': 1591345957.15466, 'id': 418316167, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591345950.795177, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '447df77cf17c000a'}
{'time_stamp': 1591345950.806296, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '0c7d017dbf6d8000'}
{'time_stamp': 1591345950.804622, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '90117dd5fd7ccc09'}
{'time_stamp': 1591345950.806854, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': 'fc7cfe7cff7c4009'}
{'time_stamp': 1591345950.805728, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '037d007d2f798000'}
{'time_stamp': 1591345958.154752, 'id': 418316167, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591345950.805175, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '447df77cfc7c0009'}
{'time_stamp': 1591345950.816252, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '0b7d017dbf6d8000'}
{'time_stamp': 1591345950.814576, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '93117dd6fd7ccc09'}
{'time_stamp': 1591345950.816818, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': '017d017dfc7c4009'}
{'time_stamp': 1591345950.815684, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '027d007d2f798000'}
{'time_stamp': 1591345959.154704, 'id': 418316167, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591345950.815123, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '447df77c077d0009'}
{'time_stamp': 1591345950.826237, 'id': 150954119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 65376, 'payload': '0a7d017dbf6d8000'}
{'time_stamp': 1591345950.824576, 'id': 217065863, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61481, 'payload': '98117ddcfd7ccc09'}
{'time_stamp': 1591345950.826792, 'id': 217066119, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61482, 'payload': '027d017d007d4009'}
{'time_stamp': 1591345950.82567, 'id': 149958023, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61485, 'payload': '027d007d2f798000'}
{'time_stamp': 1591345960.154775, 'id': 418316167, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61183, 'payload': '0000830037432b61'}
{'time_stamp': 1591345950.82511, 'id': 217060231, 'extended_id': True, 'priority': 2, 'src': 135, 'dlc': 8, 'pgn': 61459, 'payload': '447df77c057d0009'}
